route_type,customer_priority,customer_type,driver_experience,vehicle_type,weather_conditions,traffic_level,day_of_week,delivery_window,actual_time,reattempts_required,is_cutoff
1,2,1,1,0,2,0,3,0,538.6727059063943,1,0
0,1,0,1,2,0,1,2,2,325.5228349957404,1,1
0,2,1,2,1,0,1,6,0,543.3601388733731,0,0
1,0,1,1,2,0,2,1,2,291.0119218105452,2,1
0,1,0,0,2,3,1,6,1,262.4285860447061,0,1
1,1,1,0,2,0,0,0,2,179.5622251531094,1,0
0,2,1,2,2,0,0,4,1,328.79985344034384,0,0
0,1,0,1,0,0,2,2,0,328.2903300710429,0,1
1,2,1,1,0,3,2,1,0,159.1096363634878,1,0
1,1,1,0,1,0,1,2,1,500.7123251344419,0,0
1,1,1,1,0,0,1,5,1,136.73138020124287,0,0
1,2,1,1,0,0,1,3,2,199.72888534894972,0,0
0,1,1,0,2,0,2,2,0,520.7240571875707,1,1
0,0,1,0,1,1,1,4,2,33.48051343723447,1,0
1,0,1,1,2,0,2,2,1,400.8412578842192,0,0
1,2,0,0,2,0,2,3,0,484.5990576743832,0,1
1,2,0,1,1,0,1,6,2,349.1434495815506,2,1
1,1,1,2,2,0,0,3,2,583.1278554457463,0,0
1,2,1,1,0,2,2,2,0,53.10368136868717,0,0
1,2,1,1,1,1,1,5,2,144.63672493622045,0,1
0,1,0,0,2,2,1,3,1,697.4172358864288,2,1
1,1,1,0,0,2,2,1,0,50.05771491553314,0,0
1,1,1,2,2,2,1,6,2,494.7137127835768,0,0
0,1,0,1,2,0,1,4,2,317.3434330591823,0,1
1,2,0,2,0,0,0,4,0,509.4952980714662,0,1
0,0,1,0,0,2,1,2,0,352.25093527381125,1,0
0,2,1,2,1,0,1,4,0,205.63098740069236,1,1
1,2,1,2,1,2,1,2,0,380.3453196650678,0,0
1,2,0,0,0,0,1,5,2,418.5618733314727,0,0
1,1,1,2,0,0,1,1,2,579.9060676094991,0,0
1,2,0,0,2,1,2,3,0,25.54014120223563,0,1
1,1,0,1,1,2,2,5,1,47.62191268744688,2,0
1,1,1,1,1,0,1,6,0,509.1124392873415,0,0
1,2,1,2,0,0,1,0,0,343.2687542916039,3,0
1,1,1,1,2,0,1,6,2,571.3377119514041,0,1
1,1,1,2,2,1,2,1,2,345.26948450145903,0,0
0,1,1,2,0,0,1,3,0,147.65170065555185,1,0
1,1,1,1,0,0,1,1,2,352.2158896119457,0,0
1,2,1,0,0,0,0,5,0,432.8584153276586,0,0
1,1,1,1,2,1,1,6,0,326.5148752565509,0,0
0,1,1,1,1,0,2,1,2,555.2997525290904,1,0
1,1,1,0,2,0,1,1,1,327.18254271555446,0,1
0,1,0,1,0,0,2,0,0,419.1324952252224,0,0
0,0,0,1,0,0,1,3,0,88.54433731081268,0,1
1,1,0,2,0,0,2,4,2,328.14111776370805,0,1
0,1,1,2,0,2,1,5,0,283.8963112669808,1,0
1,2,0,1,0,0,1,6,2,580.4083376092623,0,1
1,1,1,2,0,0,1,1,1,365.4324443839256,0,0
1,2,1,2,0,0,1,4,2,506.5599644321071,0,0
1,1,1,2,0,2,0,0,2,146.87201387168426,1,0
1,0,1,2,2,1,1,4,0,316.2172989762009,2,1
0,0,1,2,2,0,1,0,1,358.1618591206432,0,0
1,2,1,2,1,0,1,0,2,356.12177859514685,0,0
1,2,1,0,1,0,1,4,0,565.5725855921673,0,0
1,2,1,1,2,0,1,2,0,151.2950567177531,1,0
1,0,0,1,0,0,2,0,1,535.9965096187959,0,1
0,2,1,0,2,0,2,5,2,654.766063972711,0,0
1,1,0,1,2,2,0,0,0,51.101174164250864,0,1
1,1,1,0,1,2,1,6,2,351.29368590829574,0,1
1,1,0,0,1,0,0,3,2,73.7339754868061,0,1
1,2,1,1,1,2,1,3,2,113.40653089077864,0,0
1,1,1,0,2,0,0,4,0,219.9426362531776,0,0
0,2,1,1,0,0,1,0,1,478.0307767684679,0,0
1,1,1,0,2,2,1,4,0,130.61782564772835,1,0
0,0,1,0,1,0,2,4,2,598.1513086258918,1,1
1,2,1,1,2,0,2,0,2,590.5508183716187,0,1
1,2,1,1,2,0,2,3,2,329.70604623062,3,1
1,2,0,1,2,0,0,6,0,286.92702669445885,0,1
0,0,0,1,0,0,1,1,0,454.9785254351153,0,1
0,1,1,2,0,3,1,3,0,357.1945600820887,0,0
1,1,1,1,0,2,0,2,0,247.6942830816665,0,0
0,2,0,1,1,2,1,1,1,272.61146146598026,0,0
0,2,1,1,1,0,2,5,2,225.5379522058757,0,0
1,2,1,2,0,1,2,2,0,326.0972938256692,0,0
1,1,0,1,0,2,2,3,1,309.89323886272064,1,1
1,1,0,1,0,0,2,1,0,53.28859661431209,0,0
1,1,0,2,2,0,1,1,1,264.0586009080072,0,0
0,0,0,0,0,2,2,0,0,542.6535264670586,0,1
0,1,1,0,0,2,1,3,0,378.6686225779041,0,0
1,2,1,2,2,2,0,6,1,245.65055413230797,0,0
1,2,1,1,0,2,0,1,0,241.90453160742965,0,0
1,1,0,1,2,0,1,1,2,92.04886030343502,0,1
0,1,0,1,0,2,2,5,0,700.8933161548566,0,1
0,1,1,2,0,0,0,0,0,567.3559213242576,0,0
0,2,0,2,1,0,2,4,1,540.07118202027,0,1
0,1,0,2,1,2,0,0,0,512.30957994246,0,1
1,1,1,1,1,2,1,1,1,597.4418205698456,0,1
1,1,1,2,2,0,1,0,0,241.89680658048647,0,0
1,1,0,1,0,0,2,4,0,42.72200899215139,0,1
0,1,0,0,0,2,0,0,2,418.91675839748825,0,1
1,1,1,2,0,0,1,0,1,468.7842838449736,0,0
1,1,0,0,0,0,2,6,1,125.33413838538809,1,1
1,2,1,1,0,2,2,5,2,140.43263964135218,0,1
0,1,1,2,2,2,1,2,2,538.6325804163034,0,1
1,2,1,2,0,0,2,5,1,64.68195793823261,0,0
1,2,1,0,0,2,2,3,0,36.29560994817082,0,0
1,0,0,1,2,0,1,4,2,532.7200525149296,0,1
0,1,1,2,0,0,1,6,0,610.2132411833851,0,0
0,1,1,1,2,0,1,6,0,678.3316031811073,0,0
1,0,1,2,2,3,1,2,1,380.0782080667569,0,1
0,0,1,0,1,0,2,4,1,609.020983300817,0,0
1,1,0,1,0,2,0,5,1,120.33109898531666,1,0
1,1,1,1,1,0,2,0,0,367.5579376994726,0,0
0,0,1,0,1,0,1,2,0,119.94909199490118,1,0
1,1,1,0,0,2,2,1,2,405.9326187230861,0,1
0,0,1,0,0,0,1,3,0,332.25904822174283,3,0
0,0,0,2,0,0,1,5,0,550.001502698351,0,0
1,1,0,1,0,0,1,4,2,530.2830277389565,0,1
1,0,1,1,0,0,2,4,1,39.27271070699148,0,0
1,2,1,2,1,2,0,4,1,282.7323826370771,0,1
1,2,1,1,0,0,2,4,1,234.70433304374748,0,0
1,2,0,0,0,2,2,3,2,43.795060631008745,0,1
0,1,1,2,2,0,1,5,0,152.826042782451,2,0
1,2,1,1,0,0,1,1,2,156.7973342635101,0,1
0,1,1,2,1,2,2,0,2,631.297002120074,1,0
1,0,0,1,1,0,1,2,2,76.77352166939812,0,1
0,2,1,1,0,0,1,4,2,360.29276486061553,0,0
1,1,1,0,1,0,0,1,0,155.73185719441508,0,0
1,1,1,0,2,0,2,2,2,502.95251794235946,0,0
1,0,1,2,0,0,0,5,2,151.59625789719863,0,0
1,1,0,0,2,0,2,5,2,196.2057364761637,0,0
0,0,1,0,0,2,1,1,1,573.9948188557509,0,1
1,1,0,0,2,0,1,0,0,492.6258690241543,0,1
1,2,0,0,2,0,0,2,2,132.3566582274796,0,1
1,0,0,1,2,0,2,0,0,159.890698842028,1,0
1,1,0,1,2,0,2,0,0,487.8970766857423,0,0
0,1,0,0,0,0,1,2,1,582.359491553535,0,1
0,0,1,2,0,0,2,2,2,318.97121994455574,0,1
0,2,0,0,0,1,1,3,0,514.897913319519,0,1
1,2,1,2,0,2,2,0,2,99.80189202361396,0,0
1,0,1,1,0,0,0,2,2,379.726228612743,0,1
0,2,1,1,0,1,0,4,0,63.46489979132819,0,1
1,0,0,0,0,0,1,4,1,73.7944408437936,0,1
0,2,0,1,0,2,1,3,0,181.1709875701692,0,1
0,2,1,1,2,0,1,6,1,590.3817633762154,0,1
0,1,1,1,0,0,1,4,2,681.9601367329414,0,0
1,0,1,0,2,1,0,4,2,176.27456155743258,0,0
1,2,1,0,2,0,1,6,2,189.6452563503257,0,0
0,1,1,1,0,2,1,5,1,261.50603497450766,2,0
1,2,1,1,1,0,2,6,0,89.56694113439536,0,0
1,1,1,2,0,2,1,1,2,141.30478424302498,2,0
1,2,1,1,0,0,0,4,0,125.472499845672,0,0
0,0,1,1,0,0,1,5,0,216.19271502993365,0,0
0,1,1,1,2,1,1,3,2,323.7745075086511,2,1
1,0,0,2,0,0,0,6,2,319.0338962076982,0,0
1,1,0,1,2,2,2,2,2,141.90293886045677,0,1
1,2,1,1,1,2,1,0,0,85.47717244238417,0,0
0,2,1,0,2,0,2,6,0,42.96490469641546,0,1
1,1,0,1,0,0,1,6,0,243.92509658043556,0,0
1,2,1,0,0,0,2,3,0,321.15785230558765,0,0
0,0,1,1,0,0,1,2,2,346.55263746418296,0,0
0,1,1,0,2,0,0,1,1,246.70804986066472,0,0
0,1,1,0,1,2,1,0,1,467.8386693908264,1,0
0,2,1,0,1,3,0,4,0,72.61853141397063,0,1
1,2,1,0,0,0,2,2,0,463.3938159800851,0,0
1,0,0,2,0,0,1,5,1,535.3467992187848,3,1
0,1,1,2,0,2,1,1,1,440.2769731711899,0,0
0,0,1,2,2,0,1,1,0,476.345900675042,0,1
0,2,1,0,0,0,2,2,2,228.8075338786879,3,1
0,1,1,1,2,0,1,4,2,123.5536539660243,1,1
1,0,1,0,2,2,2,6,2,227.9020555528732,0,0
1,1,1,0,0,0,0,6,2,454.8910339232419,0,0
0,2,1,2,0,0,0,5,0,587.1274265540995,0,1
1,2,1,2,0,0,1,6,2,579.6467383815859,2,0
0,2,1,2,2,0,1,3,2,88.77012362666643,0,0
0,2,1,2,0,0,1,4,2,350.2839986025127,0,1
0,2,1,2,1,0,1,4,2,451.9948249134741,2,1
1,1,1,1,0,0,1,2,0,95.93839271261818,0,0
1,2,1,0,2,0,1,0,1,555.6158035986998,0,0
1,0,1,1,1,0,1,1,0,577.2591484603289,0,0
1,2,1,2,0,0,1,5,0,254.6224825812464,0,1
1,0,1,1,2,0,0,3,2,263.3463089672453,0,0
1,2,1,2,2,0,1,2,2,594.3684114241171,0,0
1,2,1,1,0,0,1,4,1,78.9478143986021,0,1
1,2,1,1,2,3,0,4,2,563.973480752013,0,1
1,1,1,1,0,2,2,5,2,132.43329179623578,0,0
1,0,0,2,0,1,0,2,0,399.0189314135052,0,1
1,0,1,0,0,0,1,2,2,340.82553586807,0,0
0,0,1,2,2,2,1,0,1,391.5590105272721,0,0
1,2,1,0,1,0,0,4,2,49.28635089420848,0,0
1,0,1,1,0,2,1,5,2,50.76465147151762,2,0
1,2,1,2,0,1,0,1,2,365.5574657914236,0,1
0,2,0,1,1,0,1,6,2,82.52998623880808,0,1
1,0,1,1,0,0,2,3,0,338.3256063898816,0,1
1,2,1,1,0,0,0,2,1,146.33189813863277,0,0
1,2,1,2,0,2,0,4,2,391.6410858178697,0,0
1,1,1,1,0,2,0,2,0,553.4108804756053,0,1
1,0,0,2,0,2,2,2,2,98.31264109861158,0,1
1,1,1,2,2,0,1,1,0,332.61555380192016,0,1
1,1,1,0,1,0,1,6,0,419.97509924851,0,0
0,1,1,2,0,2,1,5,0,596.4043087891034,0,0
0,2,0,2,0,0,0,5,2,642.4345779578136,0,1
1,1,1,2,0,0,1,1,2,268.7786421799048,0,0
1,2,1,2,1,0,2,3,2,242.57472731995009,0,0
0,1,1,2,0,0,2,1,2,628.774027225448,0,1
1,2,1,2,0,0,1,1,0,168.26430851718544,0,0
1,1,1,0,0,0,2,1,0,292.33354022425044,0,0
1,1,0,0,0,2,1,6,0,92.91105448802978,1,1
1,0,0,2,0,0,1,5,2,302.9563262669014,0,0
0,1,1,2,0,1,1,5,0,546.2917941752402,0,0
0,1,0,0,0,0,2,4,0,619.7036919199979,2,0
0,0,0,1,0,3,1,3,2,151.26632373212615,0,1
1,1,1,2,0,0,1,5,0,341.8909901059777,0,0
1,1,1,0,0,0,1,2,0,179.938778151828,0,0
1,1,1,0,0,0,1,2,1,319.11135238767383,2,0
1,1,0,0,1,2,1,6,2,341.15981953325166,0,1
1,1,1,2,1,2,1,5,2,33.743988203142,0,0
0,0,1,0,2,0,1,4,0,264.74627562096333,0,0
0,1,1,1,0,0,1,6,1,539.6018398464186,0,0
1,1,1,2,2,0,0,2,2,310.5122650147404,0,0
0,0,1,1,1,1,2,0,2,288.9476581419337,0,1
0,2,0,2,0,3,1,6,2,522.0202399189807,0,0
1,1,1,0,2,0,1,1,1,313.70298043883133,1,0
1,2,0,1,0,3,2,6,1,95.75988177506936,0,0
1,1,1,1,0,2,2,6,2,214.26056911208724,0,0
1,2,1,2,2,0,2,0,0,248.12349723487097,0,0
1,2,1,1,0,1,0,2,0,538.973606603397,0,1
0,0,0,1,1,0,2,2,0,643.6205564359037,0,1
1,1,1,2,2,2,1,1,0,295.3686317204094,0,0
1,2,1,1,2,0,2,6,0,349.0792562082654,0,0
1,1,1,2,2,0,0,0,2,372.8322626978157,1,0
1,2,0,2,0,0,1,0,2,199.22162053589955,0,1
0,1,1,2,0,0,0,3,0,422.5637700294587,0,0
0,2,1,2,0,0,2,6,0,648.8724520693556,1,1
1,2,1,0,2,0,2,0,0,522.9284781973097,0,0
1,0,1,2,0,0,1,1,0,373.17743371928526,0,0
1,0,0,2,0,0,1,4,1,65.95083638835193,0,1
1,2,1,0,1,0,1,2,0,113.48820810935771,0,0
1,1,0,1,1,0,0,2,0,157.819624567584,1,0
1,2,0,1,2,0,2,5,0,526.9981953962632,0,1
1,2,1,0,0,0,0,4,0,307.0293018164217,0,1
1,1,0,0,2,0,1,1,0,545.558756914792,0,1
1,2,1,2,2,0,2,2,2,169.55848887491834,3,0
1,1,1,2,2,2,1,4,1,187.30150379933912,0,1
1,1,1,1,0,2,1,2,0,238.08212757751983,0,1
1,1,0,1,2,0,2,3,2,175.21557524746626,0,1
1,0,0,2,2,0,1,0,0,148.89382060363053,0,0
0,1,1,2,2,0,1,6,2,581.3895400196375,0,0
0,1,0,0,1,0,0,3,0,487.5107579530719,1,1
1,0,1,1,0,3,0,0,1,150.49515917256323,2,0
1,2,0,0,1,0,0,3,0,456.00394919445625,0,1
1,2,0,0,0,0,1,6,0,516.5462435050761,0,0
1,1,1,1,1,0,0,3,2,371.7155807708081,0,0
1,2,1,0,2,0,2,6,0,122.16910184373133,0,1
0,1,0,1,0,1,1,3,0,206.3171483117327,0,0
1,2,1,2,0,0,1,0,1,310.8020278860069,0,0
1,2,1,2,2,0,1,3,2,424.6238917604989,0,1
1,2,1,2,2,0,0,1,1,92.96828487305594,0,0
1,2,1,2,2,0,2,5,2,19.751987023735147,0,0
1,2,1,1,2,0,2,1,0,278.0993249399062,0,0
0,2,0,0,0,0,1,0,2,126.0235929267542,0,1
1,2,1,0,1,2,1,6,1,555.4609566195838,1,0
0,1,1,1,0,0,2,1,2,189.82141782344036,1,0
0,0,1,1,2,0,1,2,0,50.08155027595941,0,1
1,1,1,1,2,3,0,4,0,437.4136087846697,0,0
1,2,0,0,1,0,2,4,2,384.4489533093032,2,1
1,1,1,0,0,0,1,5,1,323.4723763737572,0,0
1,0,0,1,0,0,2,2,0,183.564585145018,1,1
1,0,1,2,0,0,2,2,2,213.02698850787604,0,1
0,1,1,2,2,0,0,2,0,64.12721267480224,1,1
1,2,0,1,2,0,1,4,0,41.8514026623739,0,1
1,1,1,1,0,0,1,1,0,355.7072709895997,1,0
0,1,0,0,1,0,1,0,2,348.4295205004912,2,1
1,0,1,0,2,0,1,1,0,36.8149675009595,0,0
0,1,1,2,1,2,1,4,0,242.4504793190884,1,0
1,1,1,0,1,0,1,0,0,97.12496061609774,0,0
1,2,1,1,2,0,1,5,0,226.01446440370665,0,0
0,0,0,0,1,2,2,0,0,178.91765329415645,1,1
1,1,1,2,2,3,2,0,0,130.16874101751978,0,1
0,1,1,0,1,0,1,6,0,31.18079521979002,0,0
0,1,1,2,0,0,2,2,1,519.6993821280455,0,0
0,1,1,0,0,2,1,2,2,304.63890432142034,0,0
1,1,1,0,0,2,2,3,0,251.28956746304365,0,0
1,0,0,2,2,2,2,6,0,168.18316034510792,0,1
0,1,1,1,1,2,0,6,1,549.7391677485264,0,0
0,2,1,1,0,2,2,3,1,560.526983713636,0,0
0,0,1,0,0,0,1,6,2,26.93714595798983,0,0
1,2,1,1,2,0,2,1,0,195.46169101523225,1,0
1,1,1,2,2,0,2,1,0,365.4581836576806,0,0
0,2,1,1,0,0,1,4,0,567.3050327560635,1,0
1,0,1,0,2,0,1,2,0,429.7759506405456,0,0
0,1,1,1,0,2,2,5,2,466.083462016333,0,0
0,1,1,2,0,2,2,3,0,596.074311947522,0,0
1,1,1,2,0,1,2,2,0,572.8982628300175,0,0
0,2,1,1,0,0,1,6,1,176.16921751748202,0,0
0,1,1,1,0,3,1,6,2,553.5285906435131,0,0
1,2,1,1,0,0,2,4,0,460.61742580132113,0,1
0,2,1,2,2,2,0,1,1,63.466332697653655,1,0
1,2,0,1,0,0,2,0,1,540.535140566699,0,1
0,2,0,0,0,3,1,2,2,711.0087060253652,1,1
1,1,1,1,0,0,0,2,0,469.8955967228247,0,0
0,2,1,2,2,0,1,3,2,547.4792751503949,1,1
1,2,0,2,1,2,2,0,1,469.5889662992007,0,1
1,2,1,1,0,2,2,5,0,116.80273526885104,0,0
0,1,0,0,1,2,1,2,0,94.24640996512132,2,1
1,2,1,2,2,0,0,6,2,560.6035592240943,0,0
1,2,1,1,2,0,2,1,2,509.7863877993959,1,0
0,2,1,1,1,0,1,5,0,598.4389294923268,0,1
0,1,0,0,0,2,0,6,0,317.2257436050175,0,1
1,1,1,2,0,0,2,0,2,201.43425735369576,2,1
1,2,1,1,2,0,1,6,0,302.2634685032524,0,0
1,2,0,2,0,1,1,3,2,474.6289234694445,1,1
1,2,1,2,1,0,1,0,1,248.64562272361056,0,1
1,2,1,0,1,0,2,3,2,233.56604546176897,1,1
0,1,1,2,0,0,1,0,2,422.4805755675288,0,0
0,1,1,1,1,0,1,1,0,58.15965489911498,0,0
0,2,1,0,2,0,1,2,0,356.9239523766023,0,0
0,2,1,0,0,0,1,3,0,224.16721637000836,0,0
1,2,1,1,0,0,1,6,1,212.3098246105827,0,1
1,0,1,1,2,2,1,3,0,83.45970920098071,1,1
1,2,1,1,2,0,1,2,0,499.6414885075873,0,1
1,1,0,2,1,0,1,6,0,92.76359169274474,0,1
1,2,1,1,2,0,2,3,2,95.75464348011812,0,0
0,2,1,2,0,0,1,2,1,148.81910628453696,0,0
1,1,0,2,0,0,1,5,0,165.2385217487212,0,0
1,0,1,0,1,0,0,4,0,231.62510346348355,0,0
1,2,0,0,2,0,0,4,0,324.94031889865875,0,1
0,2,1,0,1,1,1,0,1,204.21734308744504,0,0
1,0,0,2,2,0,2,2,0,180.1663148909252,0,1
1,1,0,2,0,2,1,3,1,282.53560878391494,0,1
1,1,0,0,0,2,1,1,0,595.771196963527,2,1
0,1,1,1,0,3,1,4,0,666.9571406344853,0,0
1,1,0,0,1,0,1,4,2,56.66558892403538,0,0
0,1,0,1,2,0,0,4,2,40.216078256981625,0,1
0,0,1,2,1,0,1,6,2,64.1213017144323,0,0
1,0,1,0,0,0,2,6,1,54.16677258169083,0,0
1,2,1,2,1,0,0,1,0,526.1061825668603,0,0
0,2,1,1,1,1,1,1,1,730.1025880998475,0,1
1,1,1,1,0,0,1,0,2,131.25532709698095,0,0
1,2,1,0,2,0,1,4,2,429.8050642189064,0,1
0,1,1,0,0,0,1,3,1,491.8745597047626,0,0
0,1,1,2,0,0,1,2,2,212.64724851081516,0,0
0,1,1,1,1,0,0,5,0,598.4960006192671,0,0
0,2,1,1,2,0,1,2,0,705.8374377081547,0,1
1,1,1,2,0,0,0,4,2,344.8403758840734,0,0
1,1,0,1,1,0,1,3,2,447.0751210018628,0,1
0,2,0,1,2,0,1,6,2,500.6134639801172,0,1
1,2,1,2,2,2,0,5,2,173.83709795546068,0,0
1,1,0,1,2,0,0,6,1,538.897970634062,0,1
0,1,1,1,0,0,1,1,0,180.09468583449302,1,0
1,0,1,2,0,0,1,3,1,63.49465060423572,0,0
1,1,1,2,2,3,2,5,0,517.458723194763,0,0
1,2,1,2,0,0,2,0,0,217.6588815295567,1,1
1,1,1,0,2,0,1,0,1,17.67097191969599,0,0
1,2,0,0,0,0,1,6,1,180.670252512009,1,1
1,2,1,0,2,0,1,0,0,232.331336937464,0,0
1,0,1,0,2,0,2,3,1,514.123936855443,0,1
1,1,1,2,0,0,2,1,2,141.28271569392012,0,1
0,1,1,1,1,0,2,0,0,535.7598747873868,1,0
